Ave_Freq	1	5	10	20	30	40	50	60	80	100	200	300	400	500
2241.4	21.00	35.00	40.33	49.33	52.67	55.67	58.67	61.00	65.67	68.00	74.00	77.33	79.33	80.67
631.0	27.67	40.00	45.67	51.67	56.00	58.67	61.00	62.33	65.00	67.67	74.00	78.67	81.00	83.67
287.4	18.00	33.00	41.33	46.00	49.67	52.33	54.00	56.33	58.67	60.33	65.67	70.67	74.67	77.33
154.6	20.33	33.33	37.67	43.67	47.33	49.00	51.33	52.67	56.33	58.00	64.33	69.00	72.33	74.00
89.4	15.67	29.33	34.67	41.00	44.67	45.67	48.67	50.33	54.00	56.33	63.00	68.00	71.67	73.33
56.3	13.00	22.00	27.67	34.33	39.00	42.67	44.33	46.00	50.00	53.33	61.00	65.67	68.67	71.00
36.7	13.33	23.00	27.00	30.67	34.00	35.67	37.00	39.00	43.33	45.67	53.33	60.33	63.00	66.00
25.0	12.33	22.00	28.33	31.67	33.00	34.33	35.67	36.67	38.33	41.67	47.33	52.67	54.67	59.33
17.4	10.67	15.33	19.00	21.67	24.00	26.00	28.67	30.33	33.00	33.67	39.67	42.00	46.00	49.00
12.4	6.33	11.33	15.67	20.00	21.00	21.67	24.00	25.00	28.33	30.33	36.00	38.33	40.33	42.33
